timestamp,person_id,emotion
1768045969.5451522,1,neutral
1768045969.7664168,1,neutral
1768045969.9759824,1,neutral
1768045970.1964145,1,neutral
1768045970.413139,1,neutral
1768045970.8437455,1,sad
1768045971.2730103,1,neutral
1768045971.4853423,1,neutral
1768045971.9147177,1,neutral
1768045972.1280737,1,neutral
1768045972.7677152,1,neutral
1768045972.9791527,1,neutral
1768045973.1982775,1,neutral
1768045973.4003735,1,neutral
1768045973.608332,1,neutral
1768045974.0395076,1,neutral
1768045974.2572641,1,angry
1768045974.886796,1,fear
1768045975.532301,1,happy
1768045975.7368429,1,happy
1768045975.9693878,1,happy
1768045976.1814115,1,happy
1768045976.3878715,1,happy
1768045976.594161,1,happy
1768045976.805857,1,happy
1768045977.000569,1,happy
1768045977.20533,1,happy
1768045977.4091585,1,happy
1768045977.6212616,1,happy
1768045977.823252,1,happy
1768045978.0292127,1,happy
1768045978.2365146,1,happy
1768045978.4410086,1,surprise
1768045978.6495218,1,happy
1768045979.063924,1,happy
1768045979.2642,1,happy
1768045979.477699,1,neutral
1768045979.689024,1,neutral
1768045979.8915958,1,neutral
1768045980.3128557,1,neutral
1768045980.5611515,1,neutral
1768045980.7756655,1,neutral
1768045981.2268836,1,neutral
1768045981.4317532,1,neutral
1768045981.6670368,1,neutral
1768045981.8817327,1,neutral
1768045982.3288152,1,surprise
1768045982.5326638,1,fear
1768045982.7509568,1,fear
1768045982.964751,1,fear
1768045983.175512,1,fear
1768045983.3832417,1,fear
1768045983.7880468,1,sad
1768045984.2123406,1,sad
1768045984.422428,1,fear
1768045984.6319487,1,fear
1768045984.8348634,1,fear
1768045985.0402973,1,fear
1768045985.2465553,1,fear
1768045985.4663064,1,fear
1768045985.6781435,1,fear
1768045985.880138,1,fear
1768045986.0872989,1,fear
1768045986.2913976,1,fear
1768045987.3898664,1,happy
1768045987.6146908,1,happy
1768045988.2422752,1,happy
1768045988.9104667,1,happy
1768045989.1360462,1,happy
1768045989.3542411,1,happy
1768045989.8064795,1,fear
1768045990.2890108,1,happy
1768045990.5486882,1,happy
1768045990.789939,1,happy
1768045991.0424986,1,happy
1768045991.4959264,1,happy
1768045991.736449,1,happy
1768045991.975417,1,happy
1768045992.204917,1,happy
1768045992.447468,1,neutral
1768045992.6965485,1,neutral
